-1,02;-1,44
-4,4;-1,54
-7,09;-1,58
-9,29;-1,66
-10,93;-1,73
-12,07;-1,79
-12,6;-1,82
-12,54;-1,81
-11,92;-1,75
-10,81;-1,61
-9,26;-1,4
-7,35;-1,1
-5,16;-0,73
-2,72;-0,29
-0,09;0,25
0,35;0,02
0,35;0,02
0,35;0,01
0,35;0,02
0,35;0,12
3,72;0,86
6,94;1,25
9,52;1,66
11,42;2,02
12,74;2,3
13,5;2,49
13,65;2,54
13,27;2,47
12,39;2,3
11,1;2,04
9,46;1,7
7,47;1,29
5,27;0,83
2,84;0,31
0,26;-0,17
0,35;0,01
0,35;0,01
0,35;0,01
0,35;0,01
0,35;-0,22
-3,25;-0,95
-6,39;-1,42
-8,85;-1,86
-10,66;-2,22
-11,86;-2,47
-12,57;-2,6
-12,68;-2,57
-12,3;-2,44
-11,46;-2,23
-10,2;-1,95
-8,58;-1,61
-6,62;-1,2
-4,42;-0,75
-2,02;-0,24
0,44;0,17
0,35;0,02
0,35;0,02
0,35;0,02
0,35;0,01
0,35;0,57
4,34;1,02
7,41;1,5
9,82;1,92
11,57;2,25
12,8;2,47
13,48;2,57
13,59;2,53
13,24;2,41
12,36;2,2
11,08;1,91
9,46;1,59
7,5;1,2
5,3;0,77
2,84;0,27
0,26;-0,18
0,35;0,01
0,35;0,01
0,35;0,01
0,35;0,01
0,35;-0,25
-3,25;-0,92
-6,42;-1,37
-8,88;-1,77
-10,72;-2,07
-11,98;-2,28
-12,74;-2,4
-12,89;-2,39
-12,54;-2,28
-11,69;-2,08
-10,4;-1,81
-8,79;-1,47
-6,86;-0,99
-4,72;-0,58
-2,28;-0,18
0,35;0,22
0,35;0,02
0,35;0,01
0,35;0,02
0,35;0,01
0,35;0,36
4,1;0,86
7,26;1,24
9,78;1,56
11,72;1,82
13,07;1,98
13,92;2,09
14,15;2,1
13,86;2,03
13,07;1,89
11,81;1,68
10,17;1,42
8,14;1,09
5,92;0,72
3,4;0,3
0,7;-0,22
0,35;0,01
0,35;0,01
0,35;0,01
0,35;0,01
0,35;0,01
-2,58;-0,83
-5,89;-1,16
-8,47;-1,51
-10,43;-1,78
-11,81;-1,97
-12,68;-2,08
-12,92;-2,09
-12,63;-2,02
-11,84;-1,87
-10,58;-1,64
-8,96;-1,36
-6,97;-1,02
-4,75;-0,63
-2,26;-0,2
0,38;0,21
0,35;0,02
0,35;0,01
0,35;0,01
0,35;0,01
0,35;0,35
